,ID,Test Name,Action,Description,Image(s) Used,,,,,,,,,,,,,,,,,,,
,RC-02,Owner can access full resolution tiers,"Queries !largestimage as owner, verifies full resolution accessible",Queries both the image record (for OriginalWidth/OriginalHeight) and !largestimage endpoint as the authenticated owner. Asserts !largestimage returns a valid URL with positive dimensions. Ensures the resolution cap doesn't affect the owner's access to their own full-resolution images.,c-resolution-cap-test.jpg,,,,,,,,,,,,,,,,,,,
,RC-03,Owner archived download is full resolution,"Downloads ArchivedUri, verifies dimensions match source file",Reads the source file's dimensions from sharp metadata. Queries the API image record for OriginalWidth/OriginalHeight and asserts they match the source. Downloads ArchivedUri and reads dimensions from the downloaded buffer. Asserts those also match. Confirms the resolution cap doesn't affect the stored original.,c-resolution-cap-test.jpg,,,,,,,,,,,,,,,,,,,
,RC-04,Lightbox image respects resolution cap,"Opens Lightbox, inspects loaded image dimensions against cap","Navigates to the image's WebUri in a Playwright browser. Waits for network idle. Evaluates all img elements in the DOM to find one with naturalWidth > 100. Reads its dimensions and asserts the longest edge is ≤ TEST_RESOLUTION_CAP_MAX. Skipped if the env var is not set. Validates the cap is enforced in the browser viewer, not just at the API level.",c-resolution-cap-test.jpg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Text Over Image (API),,,,,,,,,,,,,,,,,,,,,,,,
,TO-01,HEIC with text overlay converts to viewable JPEG tiers,"Uploads HEIC, fetches L/XL tier, verifies valid JPEG with positive dimensions",Uploads text-over-image.heic (a portrait iPhone photo with text overlaid) to the test album. Queries !sizedetails and finds the L or XL tier. Downloads it and checks the first two bytes are 0xFF 0xD8 (JPEG magic). Opens with sharp and asserts positive dimensions. Validates SmugMug's HEIC conversion handles images with sharp text edges without producing corrupt output.,text-over-image.heic,,,,,,,,,,,,,,,,,,,
,TO-02,Converted image preserves portrait orientation,Checks OriginalHeight > OriginalWidth on API image object,Queries the API image record for the uploaded text-over-image.heic. Asserts OriginalHeight > OriginalWidth. The source is 3024x4032 (portrait) — this catches orientation bugs where a portrait HEIC gets converted to landscape during the HEIC-to-JPEG conversion pipeline.,text-over-image.heic,,,,,,,,,,,,,,,,,,,
,TO-03,All size tiers maintain portrait aspect ratio,"Fetches all tiers, verifies height >= width at every tier","Queries !sizedetails for the uploaded HEIC. For each non-original tier, asserts height >= width. Ensures the portrait orientation is preserved across the full CDN tier stack, not just the original — every served size should be portrait.",text-over-image.heic,,,,,,,,,,,,,,,,,,,
,TO-04,Text sharpness preserved in converted L tier,Downloads L tier and measures Laplacian variance (must be > 50),"Downloads the L or XL tier of the converted HEIC. Converts to greyscale with sharp, applies Laplacian edge detection across all interior pixels, and computes variance. Asserts variance > 50. Text overlays produce high-contrast edges — low variance would mean the HEIC-to-JPEG conversion blurred or smeared the text.",text-over-image.heic,,,,,,,,,,,,,,,,,,,
,TO-05,Archived original matches source file,Compares ArchivedSize and downloaded byte count against source,Reads ArchivedSize from the API image record and compares against the source HEIC file's byte count. Downloads ArchivedUri and checks the downloaded byte count also matches. Ensures the original HEIC is stored unmodified even though served tiers are converted to JPEG.,text-over-image.heic,,,,,,,,,,,,,,,,,,,
